Event	ID	Name			Wwise Object Path	Notes
	1456885134	Play_CH_Attack			\Default Work Unit\Monstre\Chomper\Attack\Play_CH_Attack	
	1825440468	Play_CH_FootStep			\Default Work Unit\Monstre\Chomper\Footsteps\Play_CH_FootStep	
	2960666077	Play_Hit			\Default Work Unit\Monstre\Chomper\Hit\Play_Hit	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\MainCharacter\Footsteps	

Switch	ID	Name	Switch Group			Notes
	1981379785	Switch_Metal	Footsteps			
	2541504615	Switch_Stone	Footsteps			
	2902377486	Switch_Grass	Footsteps			
	3262067523	Switch_Dirt	Footsteps			
	3817369922	Switch_Mud	Footsteps			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	50923530	MS01_FT_Walk_Dirt-002	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Dirt-002_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Dirt\MS01_FT_Walk_Dirt-002		4942
	58085114	SFX_MS01_WP_Hit-001	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\SFX_MS01_WP_Hit-001_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\SFX_MS01_WP_Hit\SFX_MS01_WP_Hit-001		68202
	77456658	MS01_FT_Walk_Grass-003	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Grass-003_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Grass\MS01_FT_Walk_Grass-003		11866
	90159069	MS01_FT_Walk_Mud-001	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Mud-001_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Mud\MS01_FT_Walk_Mud-001		22250
	143820051	SFX_MS01_WP_Hit-002	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\SFX_MS01_WP_Hit-002_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\SFX_MS01_WP_Hit\SFX_MS01_WP_Hit-002		59916
	151233379	MS01_FT_Walk_Mud-004	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Mud-004_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Mud\MS01_FT_Walk_Mud-004		22250
	161496371	MS01_FT_Walk_Mud-005	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Mud-005_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Mud\MS01_FT_Walk_Mud-005		13942
	215377584	MS01_FT_Walk_Stone-005	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Stone-005_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Stone\MS01_FT_Walk_Stone-005		4250
	223463109	MS01_FT_Walk_Grass-002	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Grass-002_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Grass\MS01_FT_Walk_Grass-002		11866
	253880444	MS01_FT_Walk_Grass-005	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Grass-005_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Grass\MS01_FT_Walk_Grass-005		24326
	308880629	SFX_MS01_WP_Attack	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\SFX_MS01_WP_At_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\SFX_MS01_WP_Attack		104124
	328049958	MS01_FT_Walk_Mud-002	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Mud-002_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Mud\MS01_FT_Walk_Mud-002		22250
	338832736	MS01_FT_Walk_Dirt-001	C:\Users\True G4M3R\Documents\GitHub\TP_Final\TP_Final\TP_Final_WwiseProject\.cache\Windows\SFX\MS01_FT_Walk_Dirt-001_10C4C929.wem		\Actor-Mixer Hierarchy\Monster\Chomper\@Chomper\CH_Footsteps\CH_Footsteps_Dirt\MS01_FT_Walk_Dirt-001		16712
